source_mlo,unified_mlo,source_dbs,annotations
robustly E2-activated enhancers (MegaTrans) enhancers,enhancer_condensate,PhasePro,2
Enhancer cluster,enhancer_condensate,CDCODE,1
ERES,eres_condensate,CDCODE,8
SCOTIN condensate,eres_condensate,CDCODE,3
ESCRTs,escrt_condensate,CDCODE,1
SDC4 exosomal condensate,exosomal_condensate,CDCODE,1
YBX1 condensate,exosomal_condensate,CDCODE,1
Ferritin-NCOA4 condensate,ferritin_condensate,CDCODE,3
FIP200 puncta,fip200_puncta,PhaSepDB,2
FRQ condensate,frq_condensate,CDCODE,1
FtsZ/SlmA body,ftsz_droplet,CDCODE,2
Ftsz-rich droplets at specific chromosomal DNA sites,ftsz_droplet,PhasePro,2
FtsZ condensate,ftsz_droplet,CDCODE,1
Galectin complex,galectin_condensate,CDCODE,1
galectin complex,galectin_lattice,PhasePro,1
galectin lattice,galectin_lattice,PhasePro,1
GBPL defense-activated condensates,gbpl_condensate,PhaSepDB,1
Gemini of cajal body,gem,DrLLPS,12
Gems,gem,PhaSepDB,1
SMN1 nuclear body,gem,CDCODE,1
Germ plasm,germ_plasm,PhaSepDB,4
Germ plasm/Polar granule,germ_plasm,DrLLPS,2
germ plasm,germ_plasm,PhasePro,2
Founder granule,germ_plasm,CDCODE,1
Glycolytic body,glycolytic_body,PhaSepDB,9
G-body,glycolytic_body,CDCODE,5
PFK-1.1 condensates,glycolytic_body,CDCODE,1
Golgin condensate,golgin_condensate,"CDCODE,PhaSepDB",14
Golgi ribbon,golgin_condensate,CDCODE,1
Haemoglobin body,haemoglobin_body,PhaSepDB,2
Heterochromatin,heterochromatin,"CDCODE,PhaSepDB",51
XY body,heterochromatin,PhaSepDB,10
heterochromatin,heterochromatin,PhasePro,4
TAZ Condensate,hippo_condensate,CDCODE,8
Hippo signalosome,hippo_condensate,CDCODE,7
NEDD4 condensates,hippo_condensate,CDCODE,3
DDR1 condensate,hippo_condensate,CDCODE,2
Histone locus body,histone_locus_body,"DrLLPS,PhaSepDB",34
Histone Locus Body,histone_locus_body,CDCODE,15
Hyperosmotic shock foci,hyperosmotic_shock_foci,PhaSepDB,18
Hypersomatic shock foci,hyperosmotic_shock_foci,CDCODE,17
ICP22 condensate,icp22_condensate,PhaSepDB,2
in vitro droplet,in_vitro_droplet,"DrLLPS,LLPSDB",551
IL-1b-induced INAVA condensates,inava_condensate,CDCODE,1
INAVA condensates,inava_condensate,CDCODE,1
Inclusion body,inclusion_body,"CDCODE,PhaSepDB",67
inclusion body-associated granule (IBAG),inclusion_body,CDCODE,9
P6 inclusion body,inclusion_body,CDCODE,6
Htt inclusion,inclusion_body,"CDCODE,PhaSepDB",5
Inclusion Body,inclusion_body,CDCODE,4
inclusion body,inclusion_body,PhasePro,3
TDP-25 inclusions,inclusion_body,CDCODE,1
TIFA-TRAF6 Condensate,inflammasome,CDCODE,7
Inflammasome,inflammasome,CDCODE,2
Intranuclear quality control compartment,inq_compartment,PhaSepDB,1
Insulator body,insulator_body,"CDCODE,DrLLPS",21
Integrin adhesion complex,integrin_adhesion_complex,PhaSepDB,3
focal adhesion (FA) condensate,integrin_adhesion_complex,CDCODE,3
intracellular DNA/protein granule,intracellular_dna_protein_granule,PhasePro,1
KAT6A droplet,kat6a_condensate,PhaSepDB,1
L-body,l_body,PhaSepDB,76
L-bodies,l_body,CDCODE,10
DYRK3 speckle,liquid_dyrk3_speckle,CDCODE,1
liquid-like DYRK3 speckles,liquid_dyrk3_speckle,PhasePro,1
MARDO,mardo,CDCODE,7
Mast cell extracellular granules (MCEGs),mast_cell_granule,CDCODE,533
Nuclear poly(A) domains,maternal_mrna_condensate,CDCODE,1
Rbm14-maternal mRNA condensate,maternal_mrna_condensate,PhaSepDB,1
McdB condensate,mcd_condensate,CDCODE,2
Mediator condensate,mediator_condensate,PhaSepDB,6
Mesh-like condensate,mesh_condensate,PhaSepDB,3
Midbody Granule,midbody_granule,CDCODE,7
miRISC,mirisc,"PhaSepDB,PhasePro",4
RISC complex,mirisc,PhasePro,2
miRISC condensate,mirisc,CDCODE,2
micro-ribonucleoprotein complex,mirisc,PhasePro,2
Mitochondrial nucleoid,mitochondrial_nucleoid,PhaSepDB,6
