uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
Q9JK83	PhaSepDB	Par complex	polarity_condensate	driver	driver	1	32385244;39218187	Mus musculus
P09874	PhaSepDB	DNA damage foci	dna_damage_foci	driver	driver	1	38320550;39496836;36092926	Homo sapiens
P09874	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	37851801;39496836;36092926	Homo sapiens
Q9NWS1	PhaSepDB	DNA damage foci	dna_damage_foci	driver	driver	1	37804508	Homo sapiens
E2QYC9	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39112699	Canis lupus familiaris
Q8NI35	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39112699	Homo sapiens
Q20374	PhaSepDB	RNP granules	cytoplasmic_rnp_granule	driver	driver	1	24176641	Caenorhabditis elegans
P53297	PhaSepDB	Stress granule	stress_granule	driver	driver	1	30982600;30982603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q57UZ7	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37295429	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)
Q86U86	PhaSepDB	NotInformed	NotInformed	driver	driver	1	40087540	Homo sapiens
A1Z9W4	PhaSepDB	NotInformed	NotInformed	driver	driver	1	40015272	Drosophila melanogaster
G3X9Z4	PhaSepDB	NotInformed	NotInformed	driver	driver	1	40015272	Mus musculus
P35227	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	37756159	Homo sapiens
Q3UK78	PhaSepDB	NotInformed	NotInformed	driver	driver	1	34813726	Mus musculus
Q9QYX7	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38552623	Mus musculus
Q15154	PhaSepDB	Pericentriolar matrix	centrosome	driver	driver	1	29973724	Homo sapiens
Q15154	PhaSepDB	Centrosome	centrosome	driver	driver	1	37963851	Homo sapiens
Q9R0L6	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31249032	Mus musculus
Q9QXV0	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35549000	Mus musculus
P06169	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38515267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O13892	PhaSepDB	NotInformed	NotInformed	driver	driver	1	24862735	Schizosaccharomyces pombe (strain 972 / ATCC 24843)
O42958	PhaSepDB	P-body	p_body	driver	driver	1	32513655	Schizosaccharomyces pombe (strain 972 / ATCC 24843)
O75340	PhaSepDB	NotInformed	NotInformed	driver	driver	1	40118863	Homo sapiens
Q8WUM4	PhaSepDB	Abscission checkpoint body	abscission_checkpoint_body	driver	driver	1	37450591	Homo sapiens
Q9H5P4	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36964137	Homo sapiens
O00541	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	38654122	Homo sapiens
Q7ZY69	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	35607824	Xenopus laevis
